version,dstar-exam
63,0.0625
64,0.1111111111111111
49,0.125
42,0.17647058823529413
34,0.20833333333333334
26,0.23076923076923078
22,0.2857142857142857
10,0.4444444444444444
41,0.4444444444444444
18,0.9125
30,1.0
13,1.0
15,1.0
61,1.0
60,1.0
6,1.0
58,1.0
57,1.0
51,1.0
50,1.0
17,1.0
47,1.0
45,1.0
7,1.0
39,1.0
38,1.0
24,1.0
33,1.0
32,1.0
3,1.0
9,1.0
