version,dstar-exam
19,0.026785714285714284
18,0.13157894736842105
8,0.25
20,0.45454545454545453
7,1.0
6,1.0
4,1.0
3,1.0
26,1.0
25,1.0
1,1.0
2,1.0
15,1.0
14,1.0
13,1.0
12,1.0
10,1.0
21,1.0
9,1.0
