,2900111,2900112,2900113,2900114,2900115,2900116,2900131,2900133,2900134,2900135,2900156,2900174,2900190,2900193,2900204,2900223,2900226,2900258,2900259,2900261,2900322,2900323,2900325,2900439,2900461,2900463,2900498,2900585,2900620,2900621,2900624,2900625,2900633,2900659,2900663,2900701,2900706,2900707,2900708,2900709,2900712,2900714,2900715,2900716,2900720,2900721,2900723,2900791,2900809,2900811,2900812,2900813,2900814,2900815,2900816,2900817,2900818,2900819,2900820,2900850,2900853,2900854,2900928,2900932,2900943,2900944,2900945,2900947,2900948,2900950,error
1334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
1369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
